Designator,Mid X,Mid Y,Rotation,Layer
J1,1.27,-1.27,180.0,bottom
J10,15.24,-64.77,90.0,top
J12,25.4,-83.185,90.0,top
J13,35.56,-83.185,90.0,top
J14,5.08,-101.6,90.0,top
J15,15.24,-101.6,90.0,top
J16,25.4,-101.6,90.0,top
J17,35.56,-101.6,90.0,top
J2,39.37,-1.27,180.0,bottom
J3,5.08,-64.77,90.0,top
J4,25.4,-64.77,90.0,top
J6,5.08,-83.185,90.0,top
J7,15.24,-83.185,90.0,top
J9,35.56,-64.77,90.0,top
LED1,5.08,-74.93,0.0,top
LED10,25.4,-56.515,0.0,top
LED11,15.24,-56.515,0.0,top
LED12,35.56,-56.515,0.0,top
LED2,5.08,-93.345,0.0,top
LED3,15.24,-74.93,0.0,top
LED4,15.24,-93.345,0.0,top
LED5,25.4,-74.93,0.0,top
LED6,25.4,-93.345,0.0,top
LED7,35.56,-74.93,0.0,top
LED8,35.56,-93.345,0.0,top
LED9,5.08,-56.53,0.0,top
OLED1,11.536,-3.81,0.0,top
P2,10.16,-30.48,0.0,top
P3,30.48,-30.48,0.0,top
SW1,7.62,-48.990752,0.0,top
SW2,27.94,-48.990752,0.0,top
